uygulama,domain,route,kaynak,faz,onerilen_islem,inceleme_duzeyi,durum
frontend,paketjet.com,/blog/[slug],frontend/src/app/(public)/blog/[slug]/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /blog/p2p-kargo-nedir,Korundu — yerel HTTP 200
frontend,paketjet.com,/blog,frontend/src/app/(public)/blog/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /blog,Korundu — yerel HTTP 200
frontend,paketjet.com,/destek,frontend/src/app/(public)/destek/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /destek,Korundu — yerel HTTP 200
frontend,paketjet.com,/gizlilik-politikasi,frontend/src/app/(public)/gizlilik-politikasi/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /gizlilik-politikasi,Korundu — yerel HTTP 200
frontend,paketjet.com,/hakkimizda,frontend/src/app/(public)/hakkimizda/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /hakkimizda,Korundu — yerel HTTP 200
frontend,paketjet.com,/ilan-ver,frontend/src/app/(public)/ilan-ver/page.tsx,F01/F08,Koru; ortak form ve oturum/işe dönüş akışını düzelt,Kaynak + build + HTTP fixture: /ilan-ver,Yönlendirme — yerel HTTP 307
frontend,paketjet.com,/ilanlar/[id],frontend/src/app/(public)/ilanlar/[id]/page.tsx,F01/F03/F07,"Koru; gizlilik, tarih, mobil hiyerarşi ve erişim akışını yenile",Kaynak + build + HTTP fixture: /ilanlar/43f5a0e3-ebe7-43ee-a25b-6c5979f52692,Korundu — yerel HTTP 200
frontend,paketjet.com,/ilanlar,frontend/src/app/(public)/ilanlar/page.tsx,F01/F03/F07,"Koru; gizlilik, tarih, mobil hiyerarşi ve erişim akışını yenile",Kaynak + build + HTTP fixture: /ilanlar,Korundu — yerel HTTP 200
frontend,paketjet.com,/iletisim,frontend/src/app/(public)/iletisim/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /iletisim,Korundu — yerel HTTP 200
frontend,paketjet.com,/kullanim-kosullari,frontend/src/app/(public)/kullanim-kosullari/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /kullanim-kosullari,Korundu — yerel HTTP 200
frontend,paketjet.com,/kvkk,frontend/src/app/(public)/kvkk/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /kvkk,Korundu — yerel HTTP 200
frontend,paketjet.com,/,frontend/src/app/(public)/page.tsx,F06,"Koru; arama odaklı yeniden tasarla, yanlış vaatleri kaldır",Kaynak + build + HTTP fixture: /,Korundu — yerel HTTP 200
frontend,paketjet.com,/rota/[slug],frontend/src/app/(public)/rota/[slug]/page.tsx,F11,"Koru; ortak içerik şablonu, gerçek metin/SEO/404 doğrulaması",Kaynak + build + HTTP fixture: /rota/istanbul-ankara,Korundu — yerel HTTP 200
frontend,paketjet.com,/sifre-sifirla,frontend/src/app/(public)/sifre-sifirla/page.tsx,F01/F08,Koru; ortak form ve oturum/işe dönüş akışını düzelt,Kaynak + build + HTTP fixture: /sifre-sifirla,Korundu — yerel HTTP 200
frontend,paketjet.com,/sifremi-unuttum,frontend/src/app/(public)/sifremi-unuttum/page.tsx,F01/F08,Koru; ortak form ve oturum/işe dönüş akışını düzelt,Kaynak + build + HTTP fixture: /sifremi-unuttum,Korundu — yerel HTTP 200
